Sl. No.,State/UT,Number of Charges on Highway
1,Andhra Pradesh,319
2,Arunachal Pradesh,5
3,Assam,59
4,Bihar,139
5,Chandigarh,5
6,Chhattisgarh,70
7,Delhi,25
8,Goa,24
9,Gujarat,420
10,Haryana,261
11,Himachal Pradesh,53
12,Jammu and Kashmir,72
13,Jharkhand,105
14,Karnataka,471
15,Kerala,189
16,Madhya Pradesh,231
17,Maharashtra,659
18,Manipur,1
19,Meghalaya,27
20,Mizoram,7
21,Nagaland,6
22,Odisha,190
23,Pondicherry,16
24,Punjab,272
25,Rajasthan,439
26,Sikkim,1
27,Tamil Nadu,649
28,Telangana,244
29,Tripura,1
30,Uttar Pradesh,525
31,Uttarakhand,27
32,West Bengal,321
Grand Total,Grand Total,5833
